"Næring";"Mineralolje";"Autodiesel";"Bensin";"Naturgass";"LPG og etan";"Jetparafin";"Kull og brunkull&nbsp;";"Kullprodukter";"Tungolje";"Oljeprodukter"
"Jordbruk, skogbruk og fiske";1,2347;0,0025;0;0,0326;0,0474;0;0;0;0;0
"Bergverksdrift og utvinning av råolje og naturgass, inkl. tjenester";2,7021;0,0108;0;9,2597;0,0054;0;0;0;0;0
"Industri";0,3836;0,0716;0,0038;1,0449;1,296;0,0013;1,8502;1,8184;0,0099;2,658
"Energi- og vannforsyning, avløp og renovasjon";0,0815;0,1201;0,0094;0,0251;0,018;0;0,0736;0,0003;0;0,0108
"Bygge- og anleggsvirksomhet";0,8584;1,1574;0,0936;0,0008;0,0264;0;0;0;0;0
"Varehandel, rep. av motorvogner, overnatting og servering";0,4343;0,5056;0,0876;0,0209;0,0159;0;0;0;0;0
"Andre tjenesteytende næringer";0,0529;0,2758;0,025;0,0119;0,0582;0,0132;0,0003;0;0;0
"Transport";1,3298;1,9524;0,0369;0,1869;0,0042;1,5293;0;0;0;0
"Utenriks sjøfart";2,5316;0;0;0,1365;0;0;0;0;13,3414;0
"Undervisning, helse- og sosialtjenester";0,0038;0,0003;0,0003;0,009;0,0021;0,0006;0;0;0;0
"Offentlig administrasjon og forsvar";0,0216;0,0152;0,0013;0,0046;0,015;0,0926;0;0;0;0
"Husholdningene";0,0818;2,2412;1,7722;0,0038;0,0189;0;0;0;0;0